CAREER,INTEREST AREAS,REQUIRED SKILLS,DEGREES,CERTIFICATIONS,TOOLS/TECHNOLOGIES,PROJECT EXAMPLES,ENTRY LEVEL JOB TITLE,HIGHER OPPORTUNITIES,TOP COMPANIES,LEARNING RESOURCES,ROADMAP,FIELD
Substance Abuse Nurse (Cares for patients dealing with addiction),"substance, abuse, nursing, addiction, treatment, counseling, rehabilitation, healthcare, support, mental health, patient care, therapy, prevention, education, communication","Substance abuse counseling, patient care, crisis management",Associate? / Bachelor? Nursing,"RN License, Addiction Nursing Certification","EHR systems, counseling tools","Treatment Plan, Support Group Guide","Nurse Assistant, Substance Abuse Nurse","Addiction Nurse, Program Director","Rehab Centers, Hospitals","NAADAC Resources, Coursera Nursing",BSc Nursing --> Clinical Training --> Substance Abuse Nurse --> Senior Nurse,Healthcare
Supply Chain Manager (Oversees product flow from supplier to customer),"supply, chain, management, logistics, procurement, inventory, distribution, operations, planning, suppliers, transportation, optimization, efficiency, communication, coordination","Supply chain planning, logistics, analytics",Bachelor? Supply Chain Management / Business,CSCP Certification,"SAP, logistics software","Supply Chain Flowchart, Optimization Report","Logistics Analyst, Junior Planner","Supply Chain Manager, Director","Manufacturing, Retail, Tech Firms","APICS Resources, Coursera Supply Chain",MBA Logistics --> Trainee --> Supply Chain Manager --> Senior Manager,Logistics & Supply Chain
Surgical Nurse (Assists during surgeries and cares for patients),"surgical, nursing, operating room, patient care, surgery, instruments, sterilization, monitoring, healthcare, support, teamwork, clinical, safety, procedures, anesthesia","Surgical assistance, patient care, sterile techniques",Bachelor? Nursing,RN License,"OR equipment, surgical tools","Surgical Checklist, Prep Protocol","OR Assistant, Surgical Nurse","Senior Surgical Nurse, Charge Nurse","Hospitals, Surgical Centers","AORN Resources, Coursera Nursing",BSc Nursing --> Clinical Training --> Surgical Nurse --> Senior Nurse,Healthcare
Surgical Technologist (Prepares operating rooms and surgical tools),"surgical, technologist, operating room, instruments, sterilization, surgery, healthcare, patient care, support, teamwork, clinical, procedures, safety, monitoring, preparation","Surgical preparation, instrument handling, patient positioning",Vocational Surgical Technology Program,CST Certification,"Sterile instruments, OR equipment","Instrument Tray Setup, Case Log","Technician Assistant, Surgical Technologist","Senior Technologist, Lead Tech","Hospitals, Surgical Centers","NBSTSA Resources, Coursera Health",Diploma OT/Health Sciences --> Internship --> Surgical Technologist --> Senior Technologist,Healthcare
Survey Researcher (Collects and analyzes survey data),"survey, research, data, analysis, sampling, questionnaire, statistics, public opinion, methodology, communication, fieldwork, data collection, reporting, demographics, evaluation","Survey design, data collection, statistical analysis",Master? Sociology / Statistics,No formal certification,"SPSS, survey tools","Survey Questionnaire, Data Analysis Report","Research Assistant, Analyst","Survey Researcher, Project Lead","Research Firms, Think Tanks","AAPOR Resources, Coursera Research Methods",MA Sociology/Statistics --> Research Assistant --> Survey Researcher --> Senior Researcher,Research
Sustainability Consultant (Advises on eco-friendly business practices),"sustainability, consulting, environment, strategy, energy, green, corporate responsibility, efficiency, policy, compliance, innovation, management, reporting, projects, planning","Sustainability planning, environmental assessment, reporting",Bachelor? Environmental Science / Sustainability,LEED Certification (optional),"Sustainability reporting tools, analysis software","Carbon Footprint Report, Sustainability Plan","Analyst Assistant, Junior Consultant","Sustainability Consultant, Director","Consultancies, Corporates","GRI Resources, Coursera Sustainability",BE Environmental/Management --> Internship --> Sustainability Consultant --> Senior Consultant,Environmental Consulting
Swim Instructor (Teaches swimming skills),"swim, instruction, teaching, safety, water, swimming, fitness, coaching, skills, training, recreation, communication, lifeguard, technique, health","Swimming instruction, water safety, coaching",Certified Swim Instructor Training,Swim Instructor Certification,"Pool equipment, safety tools","Swim Lesson Plan, Safety Checklist","Assistant Instructor, Swim Coach","Head Coach, Program Director","Swim Schools, Recreation Centers","American Red Cross Resources, YouTube Swim Instruction",Diploma Sports --> Assistant Instructor --> Swim Instructor --> Head Instructor,Recreation & Sports
Systems Administrator (Manages computer networks and servers),"systems, administration, IT, servers, networks, maintenance, security, troubleshooting, software, hardware, configuration, support, communication, backup, management","Systems administration, networking, troubleshooting",Bachelor? Computer Science / IT,CompTIA Network+ or Microsoft Cert,"Windows Server, VMware, monitoring tools","Network Setup Guide, Backup Plan","IT Assistant, Junior SysAdmin","Systems Administrator, Lead Admin","IT Firms, Corporates","CompTIA Resources, Coursera IT",BSc IT/BCA --> IT Support --> Systems Administrator --> Senior Admin,Technology
Talent Coordinator (Organizes recruitment and talent events),"talent, coordination, recruitment, staffing, hiring, scheduling, communication, human resources, onboarding, placement, management, employee relations, organization, interviewing, training","Talent coordination, scheduling, communication",Bachelor? HR / Business,No formal certification,"Applicant tracking systems, scheduling tools","Casting Schedule, Talent Database","HR Assistant, Talent Coordinator","Casting Director, HR Manager","Agencies, Media Companies","SHRM Resources, Coursera HR",BA HR/Psychology --> Internship --> Talent Coordinator --> HR Manager,Entertainment & Media
Tax Preparer (Prepares tax returns for individuals or businesses),"tax, preparation, finance, accounting, filing, compliance, deductions, returns, regulations, auditing, documentation, consulting, IRS, reporting, client service","Tax preparation, compliance, documentation",Associate? Accounting / Taxation,Enrolled Agent Certification,"Tax software, accounting tools","Tax Return Sample, Filing Guide","Tax Assistant, Preparer","Tax Supervisor, Consultant","Accounting Firms, Tax Agencies","IRS Resources, Coursera Tax",BCom/Finance --> Tax Assistant --> Tax Preparer --> Senior Tax Consultant,Finance & Accounting
Technical Recruiter (Finds candidates for technology jobs),"technical, recruiting, hiring, talent, interviewing, screening, onboarding, communication, HR, sourcing, candidates, job market, staffing, evaluation, placement","Technical recruiting, sourcing, interviewing",Bachelor? HR / Business,Technical Recruiting Certification,"LinkedIn Recruiter, ATS tools","Sourcing Plan, Interview Guide","Recruiting Assistant, Technical Recruiter","Senior Recruiter, Recruiting Manager","Tech Firms, Agencies","SHRM Resources, Coursera Recruiting",MBA HR --> Recruitment Assistant --> Technical Recruiter --> Recruitment Manager,Human Resources
Technology Trainer (Teaches people how to use technology),"technology, training, education, software, hardware, skills, workshops, development, learning, communication, facilitation, IT, support, coaching, instruction","Technology instruction, curriculum development, training delivery",Bachelor? Education / IT,Certified Technical Trainer,"Presentation tools, LMS platforms","Training Module, Assessment Guide","Training Assistant, Tech Trainer","Training Manager, Director","Corporates, Training Firms","CompTIA Resources, Coursera EdTech",BA Education/IT --> Trainer Assistant --> Technology Trainer --> Senior Trainer,Education & Training
Telecommunications Engineer (Designs communication systems),"telecommunications, engineering, networks, systems, design, installation, maintenance, communication, data, fiber optics, wireless, technology, troubleshooting, infrastructure, protocols","Telecom systems design, installation, troubleshooting",Bachelor? Telecommunications / Electrical Engineering,"Cisco Certifications (CCNA, CCNP)","Network hardware, telecom tools","Network Layout, Installation Guide","Technician Assistant, Junior Engineer","Telecom Engineer, Project Lead","Telecom Companies, ISPs","Cisco Resources, Coursera Networking",BE Telecom/Electronics --> Intern --> Telecommunications Engineer --> Senior Engineer,Telecommunications
Textile Designer (Creates patterns and designs for fabrics),"textile, design, fabric, pattern, fashion, weaving, dyeing, production, creativity, materials, printing, manufacturing, art, apparel, surface design","Textile design, color theory, pattern creation",Bachelor? Textile / Fashion Design,No formal certification,"Design software, weaving equipment","Fabric Collection, Color Storyboard","Assistant Designer, Textile Designer","Senior Designer, Creative Director","Textile Mills, Fashion Brands","YouTube Textile Design, LinkedIn Learning",Diploma Fashion/Textiles --> Internship --> Textile Designer --> Senior Designer,Arts & Design
